experimentId;instanceName;studyRegion;averageDemand;shareCustomersInTollZones;cUCC;cToll;tollType;sumTotalCost;sumUCCCost;qUsageUCC;numUCCUsage;uCCUsagePercent;numTrucksInTollArea;numMediumTrucks;numLargeTrucks;sumTollCost;numTollAreaTruckEntries
1;milan_20-30-1-0_tw_60_d480_q3;Milan;3;40;10;10;per_day;1374.08898;0;0;0;0;4;4;1;40;8
2;milan_20-30-1-0_tw_60_d480_q3;Milan;3;40;10;15;per_day;1394.08898;0;0;0;0;4;4;1;60;8
3;milan_20-30-1-0_tw_60_d480_q3;Milan;3;40;10;20;per_day;1410.85128;0;0;0;0;3;3;2;60;7
4;milan_20-30-1-0_tw_60_d480_q3;Milan;3;40;10;5;per_day;1354.08898;0;0;0;0;4;4;1;20;8
5;milan_20-30-1-0_tw_60_d480_q3;Milan;3;40;10;10;per_entrance;1389.97698;0;0;0;0;4;4;1;40;4
6;milan_20-30-1-0_tw_60_d480_q3;Milan;3;40;10;15;per_entrance;1409.97698;0;0;0;0;4;4;1;60;4
7;milan_20-30-1-0_tw_60_d480_q3;Milan;3;40;10;20;per_entrance;1429.97698;0;0;0;0;4;4;1;80;4
8;milan_20-30-1-0_tw_60_d480_q3;Milan;3;40;10;5;per_entrance;1364.61372;0;0;0;0;4;4;1;30;6
9;milan_20-30-1-0_tw_60_d480_q3;Milan;3;40;10;0;none;1334.08898;0;0;0;0;4;4;1;0;8
10;milan_20-30-1-0_tw_60_d480_q3;Milan;3;40;2;10;per_day;1232.67748;74;37;15;75;2;3;1;20;5
11;milan_20-30-1-0_tw_60_d480_q3;Milan;3;40;2;15;per_day;1242.67748;74;37;15;75;2;3;1;30;5
12;milan_20-30-1-0_tw_60_d480_q3;Milan;3;40;2;20;per_day;1250.40892;92;46;17;85;1;3;1;20;1
13;milan_20-30-1-0_tw_60_d480_q3;Milan;3;40;2;5;per_day;1222.67748;74;37;15;75;2;3;1;10;5
14;milan_20-30-1-0_tw_60_d480_q3;Milan;3;40;2;10;per_entrance;1240.40892;92;46;17;85;1;3;1;10;1
15;milan_20-30-1-0_tw_60_d480_q3;Milan;3;40;2;15;per_entrance;1245.40892;92;46;17;85;1;3;1;15;1
16;milan_20-30-1-0_tw_60_d480_q3;Milan;3;40;2;20;per_entrance;1250.40892;92;46;17;85;1;3;1;20;1
17;milan_20-30-1-0_tw_60_d480_q3;Milan;3;40;2;5;per_entrance;1233.45352;68;34;14;70;2;3;1;10;2
18;milan_20-30-1-0_tw_60_d480_q3;Milan;3;40;2;0;none;1211.85398;68;34;14;70;3;3;1;0;6
19;milan_20-30-1-0_tw_60_d480_q3;Milan;3;40;4;10;per_day;1299.94894;112;28;12;60;2;3;1;20;4
20;milan_20-30-1-0_tw_60_d480_q3;Milan;3;40;4;15;per_day;1309.94894;112;28;12;60;2;3;1;30;4
21;milan_20-30-1-0_tw_60_d480_q3;Milan;3;40;4;20;per_day;1319.94894;112;28;12;60;2;3;1;40;4
22;milan_20-30-1-0_tw_60_d480_q3;Milan;3;40;4;5;per_day;1289.94894;112;28;12;60;2;3;1;10;4
23;milan_20-30-1-0_tw_60_d480_q3;Milan;3;40;4;10;per_entrance;1311.45352;136;34;14;70;2;3;1;20;2
24;milan_20-30-1-0_tw_60_d480_q3;Milan;3;40;4;15;per_entrance;1321.45352;136;34;14;70;2;3;1;30;2
25;milan_20-30-1-0_tw_60_d480_q3;Milan;3;40;4;20;per_entrance;1331.45352;136;34;14;70;2;3;1;40;2
26;milan_20-30-1-0_tw_60_d480_q3;Milan;3;40;4;5;per_entrance;1299.94894;112;28;12;60;2;3;1;20;4
